Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,202.118896484375,45.141265869140625,5.963804244995117,27.048358917236328,52.94702911376953,202.39491407197653,45.50246052969843,5.963804244995117,27.193483447842965,53.03663961907986,198.53057571246111,44.952456224310225,5.8845060207937,26.86868291165183,52.45414854450544,199.25513668701953,45.41216108168819,5.934968570207183,27.158931972865105,52.45414854450544,3736300,11867700,237536000,16514072,12456400
2020-01-03,199.75546264648438,44.894996643066406,5.868346214294434,26.903240203857422,52.52136993408203,200.6439153671725,45.14126902082798,5.91209732246454,27.117470487183155,53.29802671488815,198.65136580598124,44.40245815050999,5.81937484385445,26.72356139941206,52.39441790099747,199.77271786139391,44.5912646770394,5.844233438817881,26.75811565685929,53.27561838771278,2274500,11354500,205384000,14922848,17386900
2020-01-06,201.79974365234375,44.87858200073242,5.892958164215088,26.86869239807129,52.92463302612305,201.8601303172953,45.07559929299756,5.898178428502523,26.951621524430685,53.29055592888231,197.9526603265614,44.755448933114884,5.749027749353839,26.74430148709972,52.44669128037195,198.33218288189664,44.862166763570315,5.775129070791015,26.82722783489159,52.513899167658025,3329300,14698300,262636000,15771951,20081900
2020-01-07,203.12811279296875,44.53379440307617,5.964301586151123,26.77884864807129,52.49149703979492,205.0947858508718,44.82110795308353,6.010041242778637,27.04145380102801,52.66325432950944,202.49842257040316,44.45170571206917,5.876302448700196,26.730473795271333,51.909005887693354,202.7054456361348,44.697974916573024,5.921296285635632,27.034543504709024,52.64832114247495,5255200,9973900,314856000,20108107,17387700
2020-01-08,205.08615112304688,44.61589050292969,5.97548770904541,26.99307632446289,51.69990539550781,206.80268282196988,44.853952130458126,6.016752920110511,27.103646611953174,52.491495325327996,203.11947807032777,44.45171309365263,5.920053346777654,26.77884604512961,51.65509444083778,203.2919907103807,44.55022016551553,5.960075367023141,26.785756340776903,52.35707385634769,3564700,10676000,277108000,16403507,15137700
2020-01-09,209.26104736328125,45.428585052490234,6.041112899780273,26.87559700012207,52.0956916809082,209.95109797837912,45.47784015697707,6.113451228430026,27.138202139853078,52.200241061861455,206.86308593876223,45.018135242883886,5.987418636459854,26.806491261845576,51.25182149498189,208.17419263694566,45.149479056698574,6.0617455010434655,27.138202139853078,51.63268320989099,3980700,15398000,255112000,21971895,14811800
2020-01-10,208.83837890625,45.58454513549805,6.073429584503174,27.290237426757812,51.632686614990234,209.94247567795065,45.912906165779454,6.178581141333891,27.386987129044407,52.24504975703541,208.21732282693438,45.51887480833148,6.059260434267668,26.930882580507753,51.617753429946646,209.39042729210033,45.54350078958359,6.148253830514935,26.93779287659008,52.22264713071286,2248100,13040100,316296000,21557357,11995600
2020-01-13,211.51239013671875,46.077091217041016,6.263845443725586,27.23495101928711,52.12556457519531,212.28870372483425,46.15917991695127,6.288952489506994,27.48373555957389,52.177839266502964,209.60609027346032,45.494250174338816,6.133835297475145,27.09673676833515,51.61028140550986,210.84820254394347,45.584549623129995,6.156456910250187,27.380075566001636,51.67748928111368,3359200,14302900,319840000,15392405,9953900
2020-01-14,211.90054321289062,45.97037124633789,6.147011756896973,27.691055297851562,51.677494049072266,214.3675124951848,46.208432848990924,6.2464456898529646,27.697965593552027,51.96127585450861,210.98621424145864,45.830819836737646,6.1338363992497795,27.158934743247453,51.4459926372812,211.60727036580352,46.16738850096044,6.221089716905771,27.24877136592033,51.81191551019617,4302800,16345300,359088000,20919160,16261000
2020-01-15,211.51239013671875,46.545005798339844,6.1045026779174805,28.10569953918457,51.59534454345703,215.2128375441496,46.774856673657986,6.182061279281712,28.243913809896554,51.96873683813255,206.29379966008725,45.97037547856117,6.078649810796071,27.76016525168823,51.44598990459252,208.74351377027736,45.97037547856117,6.15968858757517,27.7739886237565,51.677491304086786,5411200,17735400,263104000,23925800,11390300
